name,id,author,source,sourcetype,separator,supported_TA_name,supported_TA_version,supported_TA_url,description
ASL AWS CloudTrail,1dcf9cfb-0e91-44c6-81b3-61b2574ec898,"Patrick Bareiss, Splunk",aws_asl,aws:asl,api.operation,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,Represents AWS API dataset data collection from Amazon Security Lake.
AWS Cloudfront,780086dc-2384-45b6-ade7-56cb00105464,"Patrick Bareiss, Splunk",aws,aws:cloudfront:accesslogs,,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs requests made to AWS CloudFront distributions, including details on client access, response data, and performance metrics."
AWS CloudTrail,e8ace6db-1dbd-4c72-a1fb-334684619a38,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,All AWS CloudTrail events
AWS CloudTrail AssumeRoleWithSAML,1e28f2a6-2db9-405f-b298-18734a293f77,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs attempts to assume roles via SAML authentication in AWS, including details of identity provider and role mapping."
AWS CloudTrail ConsoleLogin,b68b3f26-bd21-4fa8-b593-616fe75ac0ae,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs attempts to sign in to the AWS Management Console, including successful and failed login events."
AWS CloudTrail CopyObject,965083f4-64a8-403f-99cc-252e1a6bd3b6,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs operations that copy objects within or between AWS S3 buckets, including details of source and destination."
AWS CloudTrail CreateAccessKey,0460f7da-3254-4d90-b8c0-2ca657d0cea0,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs the creation of new AWS access keys, including details of the associated user and permissions."
AWS CloudTrail CreateKey,fcfc1593-b6b5-4a0f-91c5-3c395116a8b9,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs the creation of new AWS KMS keys, including details of key properties and associated metadata."
AWS CloudTrail CreateLoginProfile,0024fdb1-0d62-4449-970a-746952cf80b6,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs the creation of login profiles for IAM users, including associated metadata and authentication settings."
AWS CloudTrail CreateNetworkAclEntry,45934028-10ec-4ab5-a7b1-a6349b833e67,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs the creation of new entries in a network ACL, including rules to allow or deny specific network traffic."
AWS CloudTrail CreatePolicyVersion,f9f0f3da-37ec-4164-9ea0-0ae46645a86b,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs the creation of new versions of IAM policies, including changes to permissions and attached roles or resources."
AWS CloudTrail CreateSnapshot,514135a2-f4b2-4d32-8f31-d87824887f9f,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs the creation of a new snapshot of a cloud resource, such as an Amazon EBS volume, including details about the snapshot ID and resource type."
AWS CloudTrail CreateTask,6501e4fe-05b2-45f1-bd51-9e06a94fa7d9,"Patrick Bareiss, Splunk",aws_cloudtrail,aws:cloudtrail,eventName,Splunk Add-on for AWS,7.11.0,https://splunkbase.splunk.com/app/1876,"Logs the creation of a new task in AWS services, such as ECS, including details about the task definition and resource allocation."
